Age,Gender,Calorie_Intake,Sugar_Intake,Physical_Activity,Fast_Food_Frequency,Screen_Time,Height,Weight,BMI
67,Female,3074,48,15,4,11,1.615114598,65.68731909,25.18110896
75,Male,1797,79,45,0,0,1.635456887,84.89695522,31.74051102
26,Male,2595,119,151,1,1,1.60901741,85.43240621,32.99902833
43,Female,1755,29,13,4,2,1.823737661,75.27162591,22.63114691
70,Female,1808,111,23,4,4,1.559021641,49.92122765,20.53907918
19,Female,1590,13,108,3,1,1.786116984,62.47831724,19.5843663
37,Female,1648,98,75,1,10,1.592192526,68.67820602,27.09117116
45,Female,2553,22,150,3,6,1.782574505,88.86731584,27.96705145
64,Female,1961,58,166,4,5,1.737240933,49.17615681,16.29425383
77,Female,2134,85,5,2,9,1.645295859,66.00728383,24.3839384
24,Female,2908,18,20,1,7,1.68109758,89.4984773,31.66866823
61,Male,3272,68,111,3,11,1.516844848,66.74559117,29.00950125
78,Male,3315,12,45,0,0,1.719298865,69.90360256,23.64813007
25,Male,2136,105,104,2,7,1.763675887,42.32145154,13.60576609
64,Male,2145,20,168,3,2,1.81054224,63.10070082,19.24938505
52,Male,2017,14,111,1,7,1.611016468,78.32609664,30.17911671
31,Female,3418,44,169,0,5,1.914015685,57.99286256,15.83009647
34,Female,2896,33,162,2,2,1.611883431,43.73030407,16.83120598
53,Female,2720,114,40,4,1,1.596005362,55.58283531,21.82086711
67,Male,1689,79,66,3,4,1.629963468,88.96071499,33.48440013
57,Male,3326,91,82,2,0,1.631067825,75.5098567,28.38308543
21,Female,3419,111,82,4,2,1.477947636,83.38236818,38.17298584
19,Male,3271,15,64,1,3,1.514237283,78.97939919,34.44498147
79,Female,1578,95,85,1,5,1.503388762,107.3469399,47.49491006
23,Female,3070,51,146,4,7,1.678212347,85.28147749,30.28035007
71,Male,2315,52,78,2,9,1.829570049,69.45506672,20.7494146
59,Male,3405,23,146,3,7,1.569800611,66.17869566,26.85525097
21,Female,3396,85,24,1,5,1.634586646,77.24791067,28.91151491
71,Female,1571,34,166,1,3,1.553069057,88.20396485,36.56845174
46,Female,1542,93,93,2,7,1.72922651,57.56103714,19.24973878
35,Female,2302,27,119,1,9,1.682068322,76.78387145,27.1383064
43,Male,2656,33,160,0,0,1.760750251,72.84819987,23.49758918
61,Female,3322,72,167,4,3,1.529311962,74.73466278,31.95434416
51,Male,2629,88,11,3,1,1.645524651,65.43671804,24.16644254
27,Male,3194,104,91,2,11,1.621939053,78.57163824,29.86735381
79,Female,1856,115,157,0,9,1.629567786,89.6395094,33.75628222
53,Female,1507,10,69,1,8,1.769397436,75.45716754,24.10181296
31,Male,3297,24,169,1,4,1.581511797,43.22878147,17.28335785
48,Male,2866,63,141,0,5,1.59608314,55.90714549,21.94604667
65,Male,1936,43,4,1,9,1.555017876,95.8477473,39.63794568
32,Male,1579,61,163,4,2,1.90890774,52.08826232,14.29453367
25,Male,3079,11,59,1,7,1.535661968,51.1416408,21.68619707
31,Female,2188,45,77,3,11,1.7213253,61.1938986,20.65295593
40,Female,2915,32,176,4,3,1.485610501,58.49688079,26.50469358
77,Female,2075,33,112,2,7,1.705524279,70.18869478,24.12966842
74,Female,2399,119,51,4,3,1.512213624,76.9380232,33.64455053
79,Female,1787,41,136,2,2,1.668226493,76.19389156,27.37853007
57,Female,3344,60,143,2,2,1.687360877,62.81503294,22.06214025
38,Female,2636,55,34,4,10,1.641023764,62.03206791,23.03490993
33,Male,2462,22,73,3,2,1.734735643,65.15622848,21.65156702
62,Female,3354,106,112,1,2,1.705816238,88.67708954,30.47522652
35,Female,3405,115,15,4,10,1.568042566,63.29619283,25.74316218
64,Female,2219,23,160,2,4,1.709054776,75.50375059,25.84976271
70,Female,2455,26,50,4,7,1.677256168,68.14724872,24.22420493
41,Female,1725,25,60,2,3,1.764856657,61.85327979,19.85838189
43,Female,2856,41,78,2,10,1.475789104,82.27510906,37.77633905
42,Male,2940,88,58,0,8,1.663474819,60.99951695,22.04417925
77,Female,1777,116,126,3,5,1.661470685,73.55887169,26.64708414
77,Female,2394,104,102,3,3,1.605381554,79.65491833,30.9069436
77,Male,3322,21,3,2,3,1.777106011,76.52550142,24.2314561
62,Male,2291,106,129,2,9,1.564741656,74.89352031,30.5885546
58,Female,2526,12,70,1,11,1.735476502,70.85325365,23.52460407
46,Male,2044,84,101,2,3,1.563101063,71.75595026,29.36863782
32,Female,1977,62,61,2,3,1.809129122,69.65502005,21.28204181
62,Male,2933,52,97,3,1,1.698665619,62.37295781,21.61625952
18,Female,2830,14,24,2,5,1.463126235,61.03999749,28.51352508
42,Female,2737,56,70,1,0,1.786412707,69.8046368,21.87362051
24,Male,2553,36,24,0,10,1.717466218,72.49401129,24.57682203
26,Female,1918,61,122,0,9,1.660960086,73.88341435,26.78110946
41,Female,3060,65,65,1,2,1.573225503,78.81426649,31.84365294
18,Female,2551,89,25,2,4,1.54752514,52.92353343,22.09903991
61,Female,2108,108,101,1,5,1.710648462,75.35157726,25.74961884
25,Female,1586,113,105,0,7,1.4650439,74.72689376,34.81574182
41,Female,2549,89,130,3,3,1.56880572,74.93243935,30.44609109
28,Female,1619,89,173,2,11,1.73373787,76.37537296,25.40893562
68,Male,2212,95,156,2,3,1.481206528,58.85904295,26.82760859
34,Female,1891,77,138,4,11,1.48665427,73.2069634,33.12321075
25,Male,2880,105,148,2,0,1.712557874,73.49632527,25.05965637
52,Female,1852,100,42,4,10,1.618035815,44.6179096,17.04248649
52,Female,1514,24,3,4,9,1.849773632,91.20163975,26.6541893
50,Male,1804,28,68,3,7,1.613378551,56.70314105,21.78384606
76,Male,2777,35,21,4,1,1.463874211,73.45324148,34.27705062
22,Male,2122,88,109,4,5,1.785991463,38.33333384,12.01760248
59,Female,2019,54,102,4,8,1.490440836,86.24349795,38.82369627
56,Female,3474,19,5,4,5,1.528809183,61.0278414,26.11087609
75,Female,2352,107,149,4,0,1.609705022,63.77369249,24.61211667
58,Female,2139,111,15,1,4,1.669514747,55.18528032,19.7989762
45,Male,2709,35,163,4,10,1.695709083,62.58207996,21.76443013
24,Female,1886,17,177,1,11,1.765277749,71.88180004,23.06709212
26,Female,2404,89,57,1,7,1.340942514,93.33119234,51.90467716
25,Female,3023,102,86,1,11,1.537026817,83.16255572,35.20180541
29,Male,1513,41,122,2,0,1.776998836,82.68934132,26.18636674
51,Female,2753,30,178,1,0,1.542655264,52.06372534,21.87748876
50,Female,1590,105,77,2,9,1.643876497,73.40812941,27.16475452
65,Female,2927,54,46,1,1,1.811652383,63.59591416,19.37668483
72,Male,3028,64,133,1,8,1.629463213,53.41653581,20.11808316
40,Female,1503,21,152,1,4,1.618549528,60.37578207,23.04680792
79,Female,2521,57,130,3,3,1.630788674,70.30036416,26.43395836
41,Male,3187,112,12,2,3,1.804544826,64.38985652,19.77343443
54,Female,2742,68,114,2,4,1.457670236,74.65593678,35.13547079
52,Female,3111,83,52,3,0,1.864495188,51.27110167,14.74857686
61,Male,2295,79,66,4,3,1.622841601,105.7709581,40.16189293
57,Female,3390,46,30,1,2,1.609057557,73.32370727,28.32052215
39,Female,1715,91,126,0,5,1.552635831,62.774053,26.03999887
44,Female,2682,40,66,2,10,1.513800863,65.16366049,28.43596528
52,Male,3286,108,80,2,9,1.369360761,48.38635209,25.80400535
18,Male,3102,12,132,0,6,1.796117246,46.93670189,14.54933702
52,Female,3257,78,136,0,11,1.38409778,67.14879916,35.0513465
54,Male,2203,107,28,0,0,1.643826636,73.20133808,27.08987449
64,Female,2230,68,162,3,0,1.596940082,50.6665543,19.86754141
31,Male,2896,42,103,1,1,1.68513166,56.51874883,19.90328963
20,Male,1516,45,162,1,10,1.410498649,71.85802079,36.11851635
18,Female,3425,83,49,0,11,1.550899116,54.10056593,22.4923437
22,Female,1994,118,29,4,9,1.706966492,83.49157497,28.65448859
43,Female,3142,12,14,1,11,1.672130204,74.52366521,26.65348627
72,Male,2989,84,28,4,4,1.570370701,63.35959094,25.69259654
31,Female,1943,12,152,1,11,1.662390533,72.19224444,26.12308298
56,Male,3262,101,74,4,8,1.856735605,57.31844956,16.62624987
44,Female,2604,115,56,3,3,1.78068708,57.43314504,18.11287474
26,Female,2278,68,111,1,3,1.766623776,91.91763714,29.45172315
32,Male,1665,63,50,1,8,1.715969117,95.00749419,32.26553935
32,Female,1856,37,67,2,9,1.671768263,63.52027212,22.72794645
43,Male,1733,18,123,1,0,1.567959658,70.17196642,28.54262277
59,Female,2685,35,57,2,2,1.656674254,63.63490256,23.18574938
77,Female,1674,38,139,0,9,1.88601966,86.94723779,24.44349814
30,Female,3195,19,68,2,6,1.760345321,99.18347657,32.00689806
68,Female,2886,36,105,0,11,1.607003037,61.1256584,23.66955838
49,Male,2899,72,164,1,11,1.398532527,51.38982552,26.27435115
56,Male,2196,118,152,2,5,1.740898297,83.6043264,27.58556929
66,Male,2697,71,67,0,4,1.762352351,80.58980342,25.94744572
69,Female,1737,105,151,2,6,1.584850367,89.23302641,35.52622756
78,Female,2686,27,35,0,1,1.569849672,73.23269514,29.71589973
49,Male,2487,62,129,2,1,1.416134534,39.06488182,19.47948574
21,Female,2513,91,34,0,6,1.800700753,52.18117287,16.09276777
47,Male,3441,95,124,4,7,1.600203677,97.34867056,38.0171448
54,Male,2411,26,99,1,1,1.681284911,69.14490852,24.4611897
40,Female,2761,58,7,1,10,1.51815413,56.9362127,24.70340647
56,Female,3141,98,27,2,0,1.476265844,41.47572093,19.03113983
62,Female,2129,35,125,0,10,1.829468041,77.20109582,23.06608087
32,Male,2755,14,103,4,4,1.603273048,70.97470593,27.61141211
60,Female,2087,82,43,1,0,1.559950041,51.5210178,21.17205698
46,Male,3040,53,9,2,9,1.998287774,55.96693718,14.0157221
53,Male,3253,117,4,1,10,1.768223862,58.04599054,18.56511881
30,Female,2293,33,100,4,9,1.563422614,76.76287744,31.40497609
49,Female,3368,66,119,1,8,1.738451848,95.43479283,31.57776606
24,Male,2419,16,174,3,4,1.457384878,64.75831359,30.48926904
76,Male,2759,29,158,4,7,1.611704022,94.51806412,36.38683141
68,Female,2846,65,28,0,3,1.549451576,69.78168446,29.06601092
39,Male,3067,117,130,4,0,1.700219422,57.69897561,19.95989062
45,Female,1906,114,153,2,8,1.848806016,90.75881106,26.55254214
19,Female,1676,81,94,0,10,1.446718051,77.14860664,36.86042058
59,Male,3023,28,1,1,3,1.872854111,90.16167341,25.70479038
62,Female,1618,108,78,4,10,1.739955936,75.65253375,24.98889072
79,Female,2713,73,91,0,2,1.530093685,106.3843879,45.44036945
74,Male,2113,52,55,1,1,1.532378929,74.12458697,31.56675528
70,Female,1864,53,141,4,0,1.564244862,77.71700857,31.76190931
23,Male,1985,34,75,0,8,1.546034073,59.20577467,24.76999653
45,Female,3496,26,14,2,0,1.549794853,84.33830365,35.11368697
45,Male,2602,48,84,1,3,1.43230032,67.98138016,33.13765711
61,Female,1821,34,123,1,1,1.626573016,80.53445332,30.43929491
61,Male,1638,108,117,2,11,1.739597004,91.67976128,30.29536376
37,Male,2859,48,44,2,7,1.58109919,70.9425609,28.37844726
47,Female,2925,48,46,2,4,1.68568297,80.42518404,28.3035079
79,Male,2749,68,19,0,10,1.785033816,91.17596058,28.61458501
28,Female,2789,119,123,2,2,1.470581556,55.18138183,25.51610274
75,Female,1832,75,145,3,11,1.569885583,72.15204334,29.27606025
72,Male,1723,25,78,0,3,1.469320158,45.61162952,21.12723751
45,Female,2071,62,60,2,2,1.481821448,67.86331739,30.9060379
42,Female,2275,115,120,2,9,1.813363913,84.09856803,25.5751779
56,Male,2466,87,4,3,1,1.589473154,42.46032867,16.80648751
79,Female,3083,38,57,4,5,1.705543131,57.21147958,19.6678898
50,Female,2092,112,80,2,5,1.669846941,51.09073065,18.32267098
18,Female,2308,75,76,1,2,1.734998157,82.70211017,27.47378878
74,Male,2486,19,59,2,4,1.66771641,77.49542977,27.86324456
44,Female,3414,11,140,0,11,1.662816906,87.47981571,31.6387267
79,Female,2523,100,99,0,8,1.472067986,84.29887729,38.90147376
74,Female,3043,22,39,2,9,1.65419911,61.94781945,22.6386465
69,Female,2360,63,179,0,0,1.652840596,67.78944819,24.81419303
30,Male,2772,11,1,1,6,1.536981276,64.34331763,27.2374406
58,Female,3279,51,138,2,0,1.401758412,91.67514379,46.65575889
20,Female,3200,23,10,1,5,1.679383341,78.07370852,27.68248844
56,Female,3382,90,9,3,4,1.796912343,84.59760068,26.20017923
23,Male,2944,60,27,4,3,1.4376593,81.00354818,39.19151809
25,Female,3355,117,118,3,2,1.629799581,62.58836754,23.56270904
44,Female,1686,58,138,2,9,1.381983359,56.35217415,29.50564068
26,Female,1748,47,6,4,3,1.727984122,77.4616599,25.9422299
79,Female,2650,109,156,2,11,1.79210106,92.11816857,28.68271792
54,Female,2611,43,179,4,10,1.638281089,74.96528387,27.93079861
50,Male,2568,38,142,2,0,1.724969949,52.20185347,17.54376721
68,Female,3435,73,6,4,4,1.65762745,78.47515062,28.56000625
59,Male,3317,32,54,1,8,1.53353532,62.19633773,26.44705067
61,Female,2523,32,130,0,5,1.633866535,43.72424519,16.37906725
41,Male,1745,25,19,2,9,1.646722784,94.19813426,34.73772016
32,Female,2426,53,123,3,9,1.632561097,57.65179514,21.63086804
76,Female,2934,69,2,3,3,1.694567228,89.35856147,31.11849339
71,Female,2741,80,156,2,4,1.665906372,90.6828794,32.67564154
49,Male,2950,118,19,1,0,1.62669996,76.11791602,28.76550332
49,Female,1514,74,9,2,3,1.573043494,57.22089264,23.12454341
41,Male,3291,28,89,4,3,1.70996389,87.68463232,29.98814532
58,Male,2325,54,93,0,8,1.701628595,57.88901276,19.99247644
69,Male,2188,106,164,1,4,1.671236454,69.31455842,24.81696456
66,Female,2858,107,83,0,2,1.550460692,66.37200794,27.60981113
79,Female,2226,10,50,3,9,1.51426013,64.23995531,28.01587913
66,Female,2036,21,116,0,7,1.731086986,73.64817928,24.57673755
75,Female,1991,34,169,0,9,1.54297747,44.77099195,18.80518227
69,Male,3359,96,96,2,9,1.609493211,59.7567818,23.06794472
29,Female,1791,98,29,3,6,1.463332109,56.45381424,26.36376827
79,Male,1616,104,44,0,7,1.703169449,78.22036882,26.96523086
56,Male,2091,97,99,4,3,1.501241703,80.5923335,35.75958667
19,Male,2186,19,151,0,6,1.495039756,67.00470609,29.97780455
20,Female,2243,75,158,2,10,1.531291594,79.2601881,33.80175906
66,Female,3350,42,22,1,3,1.7014833,68.99642558,23.83258828
54,Male,2992,110,52,1,8,1.624060152,65.64065926,24.88678026
66,Female,2447,96,41,1,4,1.573950001,74.87043366,30.22236763
73,Female,3075,11,163,4,4,1.848316828,73.20078655,21.42707613
34,Male,2182,13,103,0,3,1.712662194,54.09211375,18.44125744
76,Female,2128,32,112,3,4,1.411011151,84.0484135,42.21517831
66,Female,3219,119,161,0,0,1.545195794,48.50757908,20.31620404
19,Female,2092,50,84,1,10,1.412643197,50.36130903,25.23666981
19,Female,1886,47,153,1,11,1.592638887,54.61433365,21.53138705
45,Female,3106,96,70,3,0,1.774361401,69.67639415,22.13102376
71,Male,2151,65,152,0,8,1.679854312,93.49728656,33.13261927
40,Female,1692,85,2,1,1,1.621965002,89.3141377,33.94980245
54,Female,3206,53,116,3,7,1.593380445,56.27808337,22.16666371
49,Male,1600,73,42,2,10,1.688399258,68.40177213,23.99479523
50,Female,2593,33,133,1,1,1.446697206,51.4193329,24.56807632
18,Female,2697,102,53,2,8,1.635551166,59.58650501,22.27509902
36,Male,1943,50,51,0,1,1.670233057,98.93801666,35.465742
79,Female,3224,37,12,4,0,1.497126699,66.9457799,29.86799669
19,Female,1932,71,111,0,7,1.543474511,87.69821028,36.81220285
70,Male,2738,24,55,4,2,1.886076145,82.18425398,23.10309547
61,Male,2036,71,103,3,6,1.713324237,59.78954004,20.36789257
43,Male,2100,19,174,4,4,1.445435378,57.1325661,27.3455316
49,Female,3166,107,65,3,6,1.559965389,69.3678762,28.5054875
23,Female,2207,38,67,1,7,1.646517404,67.93720608,25.05965174
49,Female,1818,40,12,0,2,1.926994699,83.36042455,22.44909706
72,Male,2809,72,29,3,4,1.756800668,65.85389155,21.33715286
21,Male,1724,96,75,0,4,1.780796222,83.24837233,26.25108751
72,Male,2872,27,160,0,6,1.697747257,59.97950977,20.8092696
28,Female,1887,16,165,3,10,1.531857079,70.41094266,30.00569312
73,Female,2345,36,42,3,1,1.841400361,55.10207698,16.25067936
76,Female,2864,18,111,4,7,1.752529567,44.4675057,14.47811634
34,Male,3362,29,97,1,6,1.803045835,56.29225583,17.31550327
55,Female,3184,94,2,1,11,1.854113388,77.56798339,22.56367945
41,Female,3027,101,42,2,9,1.836683756,90.47888847,26.82121742
22,Male,1570,59,72,4,6,1.648056871,67.86799894,24.98737622
69,Female,2652,70,131,4,4,1.682785881,76.90243814,27.15703737
51,Male,1943,76,91,0,7,1.673145598,65.07895862,23.24733237
23,Male,2813,118,31,0,0,1.761423559,62.93442417,20.28432973
39,Male,2098,83,0,3,11,1.689837971,86.65048707,30.3445624
28,Female,1886,26,140,2,6,1.667414568,89.4958476,32.18960909
65,Female,1517,108,35,0,10,1.637325986,91.18082761,34.01208226
33,Male,3078,30,25,4,8,1.632167842,82.59898611,31.00595288
50,Male,2599,82,149,2,7,1.68612051,65.25540924,22.95299146
26,Female,3369,90,87,4,3,1.805816687,61.16740021,18.75740253
77,Female,2052,41,138,4,7,1.535758943,45.06891654,19.10869427
76,Female,2373,57,24,4,11,1.658731675,99.01047457,35.98560978
23,Male,2888,47,78,1,11,1.691429066,47.67238534,16.66323442
33,Male,2803,37,172,4,7,1.848741649,70.57651903,20.64941648
46,Male,1779,91,163,1,0,1.598133332,45.98528443,18.00498889
20,Male,2270,69,101,0,0,1.55642811,86.06473808,35.52770219
37,Female,2966,79,33,4,10,1.831171757,75.75490771,22.59189239
77,Female,2453,67,161,3,8,1.711153989,89.78187818,30.66270736
76,Female,1828,79,31,3,0,1.599281071,73.17940495,28.61141124
53,Female,3059,90,101,1,9,1.77667034,80.49028529,25.49938828
36,Male,2007,62,152,1,2,1.424810116,75.28613312,37.08523298
43,Male,1949,19,120,2,2,1.643577648,89.04828733,32.96439568
20,Female,2898,11,56,4,3,1.685296234,75.28702422,26.50743048
36,Male,2819,106,106,4,11,1.720769838,84.86044933,28.65891584
37,Male,2999,116,156,4,2,1.550874784,100.2953937,41.69918026
49,Female,2338,34,20,4,2,1.548848137,57.94132502,24.15298143
24,Male,1892,47,72,2,4,1.834845455,58.99944284,17.52463292
69,Male,1608,10,84,0,4,1.651937475,88.67237472,32.49384679
58,Female,1858,89,20,1,7,1.669124312,73.7237675,26.46245638
50,Female,2455,99,174,1,6,1.562579912,74.09143267,30.34474685
57,Male,2434,114,159,3,11,1.53992851,79.89578752,33.69168744
56,Male,2812,85,149,4,8,1.581898739,73.5894665,29.40751279
35,Female,2941,82,41,1,11,1.793463656,46.19127934,14.36067424
57,Male,1817,22,10,3,4,1.575340424,73.87902866,29.76955497
18,Female,1840,80,57,2,3,1.621620537,53.59568775,20.3812763
28,Male,2840,10,97,3,11,1.843509238,78.13326274,22.99033629
45,Male,1848,40,40,4,3,1.906391275,77.02419556,21.1935197
74,Female,1526,108,85,3,1,1.474003135,74.85104921,34.45094012
42,Female,2137,97,152,4,8,1.394927916,68.18012051,35.03920413
67,Male,1900,76,143,2,6,1.564492891,101.4560682,41.45060175
40,Male,1815,65,102,2,10,1.532638041,103.7010819,44.14729371
48,Male,3205,28,107,2,1,1.707253597,43.16365548,14.80887764
47,Male,3082,13,69,3,9,1.648370312,62.89355394,23.14709895
59,Female,1867,37,161,4,7,1.634487184,95.81769695,35.8659789
52,Female,1842,53,45,1,1,1.755279681,85.18558618,27.64862036
24,Female,2192,39,47,4,1,1.394653472,65.99963067,33.93195488
77,Female,2888,45,36,3,3,1.575828879,88.2167125,35.5248914
33,Female,3440,62,21,2,6,1.636022193,58.35862371,21.80352237
43,Female,2403,115,79,0,9,1.773852995,59.40550509,18.87954144
65,Male,2596,68,134,1,8,1.642964783,70.21165704,26.01074036
74,Male,2645,77,174,4,4,1.699345568,77.462418,26.8242534
69,Female,3388,96,76,4,2,1.610932206,76.71450649,29.56126177
77,Female,1685,84,112,0,5,1.644827946,74.09765239,27.38820037
66,Female,2335,13,16,2,8,1.614836781,72.39112055,27.76054792
19,Female,1818,20,2,0,1,1.622396175,67.42988978,25.61761074
18,Female,2454,62,139,2,6,1.659064192,64.10558816,23.2900011
65,Male,2093,97,75,4,9,1.82355867,70.04651997,21.06430247
79,Female,2491,63,18,2,10,1.699709072,74.98871687,25.95653622
29,Male,3065,93,158,1,9,1.625337398,58.02598402,21.96521494
22,Female,2292,54,114,3,3,1.715332599,49.53202138,16.83407932
54,Male,3156,26,1,3,5,1.671862597,71.34571899,25.52505905
49,Female,1852,73,95,2,3,1.720473843,72.67916011,24.55351942
76,Female,1854,67,127,4,1,1.602739573,64.7942502,25.22380197
72,Female,1605,22,17,4,4,1.709028829,61.9829701,21.2213792
26,Female,3347,90,54,2,2,1.711204345,72.55393294,24.77748435
58,Female,1917,60,3,0,9,1.479671538,69.28002429,31.64298103
52,Female,3469,61,149,0,2,1.603784071,69.01046113,26.83015232
36,Female,2141,24,119,0,9,1.629463633,99.48942714,37.47033587
65,Male,1704,13,77,4,2,1.610923221,42.55598994,16.39876015
33,Female,2064,91,77,2,1,1.526556062,50.80256531,21.80018235
20,Female,2905,116,92,2,3,1.353401541,67.48842676,36.84478029
37,Female,2820,18,33,4,6,1.773378725,80.63388626,25.63979828
41,Male,2802,76,175,2,1,1.390045924,59.53576784,30.81198389
71,Female,1688,100,126,1,3,1.887429402,52.19881536,14.65275253
73,Male,3250,91,106,0,4,1.621630958,67.36319196,25.61642996
50,Male,2042,90,151,2,9,1.569918454,67.29904866,27.30578939
41,Female,2973,83,44,4,2,1.463987867,44.25015357,20.64618561
69,Male,1757,66,122,2,4,1.450815132,76.32827353,36.26279594
28,Male,1952,110,92,4,11,1.542996234,67.69805969,28.43455851
66,Female,3095,38,137,2,4,1.672883826,77.64007077,27.74305979
25,Male,1577,56,173,3,1,1.819468752,76.73048645,23.17814893
53,Male,2546,14,163,1,0,1.464099332,36.28862971,16.92892902
55,Male,2002,79,97,3,1,1.693086443,69.4614109,24.23178104
57,Female,1684,73,50,2,11,1.42789895,68.35250744,33.5242833
37,Female,2046,113,159,4,4,1.54129412,63.03507162,26.53451828
79,Female,3036,68,159,2,7,1.710291889,74.19077989,25.36351642
52,Male,3140,44,142,4,0,1.527956975,64.94249182,27.81676988
65,Male,3211,14,136,0,5,1.835230264,59.41572319,17.64088069
79,Male,1548,59,57,0,2,1.74057675,66.32485515,21.89222757
42,Female,1667,69,163,2,4,1.709473348,57.62024872,19.71743692
52,Female,3353,24,149,0,9,1.583040533,71.44211143,28.50822722
42,Male,3306,100,12,2,10,1.546019542,61.61877086,25.78000947
46,Male,3193,117,168,0,0,1.59518498,65.36717453,25.68843279
35,Male,1520,112,107,1,4,1.679989514,47.66528867,16.88842252
63,Female,1891,106,153,3,9,1.67992391,52.98223837,18.77375214
35,Female,2402,33,119,0,1,1.551733026,75.44976613,31.33458094
19,Female,2628,30,127,1,8,1.562849345,88.90819363,36.40051737
